2.10100708	0.00000000
2.10457344	0.00298083
2.10815193	0.00602464
2.11174261	0.00912027
2.11534554	0.01225672
2.11896078	0.01542312
2.12258841	0.01861301
2.12622848	0.02183082
2.12988105	0.02508260
2.13354619	0.02837433
2.13722397	0.03171189
2.14091446	0.03510108
2.14461770	0.03854760
2.14833379	0.04205707
2.15206277	0.04563503
2.15580472	0.04928694
2.15955970	0.05301814
2.16332779	0.05683393
2.16710906	0.06073375
2.17090356	0.06470266
2.17471137	0.06872366
2.17853257	0.07277999
2.18236722	0.07685511
2.18621539	0.08093273
2.19007716	0.08499675
2.19395259	0.08903133
2.19784176	0.09302081
2.20174475	0.09694978
2.20566162	0.10080864
2.20959246	0.10460918
2.21353733	0.10836814
2.21749631	0.11210204
2.22146948	0.11582714
2.22545691	0.11955947
2.22945868	0.12331483
2.23347487	0.12710882
2.23750555	0.13095676
2.24155081	0.13486879
2.24561073	0.13883584
2.24968537	0.14284446
2.25377483	0.14688132
2.25787919	0.15093332
2.26199852	0.15498753
2.26613291	0.15903120
2.27028244	0.16305178
2.27444719	0.16703808
2.27862725	0.17098345
2.28282271	0.17488242
2.28703364	0.17872955
2.29126014	0.18251953
2.29550229	0.18624710
2.29976017	0.18990711
2.30403388	0.19349445
2.30832351	0.19700408
2.31262913	0.20042586
2.31695085	0.20374059
2.32128875	0.20692836
2.32564293	0.20996958
2.33001347	0.21284498
2.33440047	0.21553556
2.33880402	0.21802266
2.34322421	0.22028806
2.34766114	0.22233462
2.35211491	0.22420727
2.35658561	0.22595540
2.36107334	0.22762765
2.36557819	0.22927193
2.37010026	0.23093547
2.37463966	0.23266470
2.37919648	0.23450542
2.38377082	0.23649303
2.38836278	0.23858500
2.39297247	0.24070229
2.39759999	0.24276682
2.40224544	0.24470168
2.40690892	0.24643121
2.41159055	0.24788089
2.41629043	0.24898681
2.42100866	0.24974691
2.42574535	0.25018344
2.43050061	0.25031840
2.43527456	0.25017350
2.44006729	0.24977015
2.44487893	0.24912944
2.44970958	0.24827217
2.45455936	0.24721847
2.45942838	0.24598557
2.46431675	0.24458949
2.46922459	0.24304605
